25 50
8 44 20750.00000
8 45 109304.77500
8 46 39050.57500
8 47 10134.30000
8 48 1983.27500
8 49 86632.20000
8 50 6421.35000
9 1 6429.47500
9 2 3117.86250
9 3 15111.60000
9 4 25921.08750
9 5 1318.66250
9 6 12444.73750
9 7 53176.87500
9 8 10985.28750
9 9 1593.48750
9 10 1134.80000
9 11 58178.31250
9 12 9254.70000
9 13 11563.07500
9 14 3558.91250
9 15 20779.31250
9 16 20437.95000
9 17 4415.47500
9 18 11423.10000
9 19 5638.73750
9 20 8870.06250
9 21 1008.42500
9 22 30655.91250
9 23 6260.73750
9 24 9496.20000
9 25 17796.07500
9 26 5918.56250
9 27 289434.60000
9 28 7551.48750
9 29 10887.17500
9 30 19991.81250
9 31 6678.78750
9 32 5719.52500
9 33 21329.18750
9 34 258078.60000
9 35 9607.81250
9 36 8340.22500
9 37 73007.01250
9 38 24757.93750
9 39 46820.81250
9 40 7047.90000
9 41 26917.01250
9 42 22884.53750
9 43 13320.31250
9 44 19556.25000
9 45 150511.16250
9 46 46994.46250
9 47 12512.47500
9 48 2611.08750
9 49 27212.10000
9 50 6030.07500
10 1 5396.52500
10 2 2582.81250
10 3 23679.60000
10 4 69206.46250
10 5 1789.08750
10 6 17769.21250
10 7 147325.12500
10 8 57376.68750
10 9 2099.21250
10 10 1406.80000
10 11 241573.93750
10 12 37595.10000
10 13 70496.27500
10 14 5947.01250
10 15 12569.06250
10 16 23300.25000
10 17 8788.57500
10 18 144881.10000
10 19 12438.11250
10 20 6729.93750
10 21 1953.67500
10 22 11166.86250
10 23 22873.38750
10 24 11616.60000
10 25 27157.07500
10 26 12852.33750
10 27 239639.40000
10 28 22351.53750
10 29 14092.47500
10 30 23444.43750
10 31 6101.28750
10 32 11338.42500
10 33 15695.06250
10 34 728398.20000
10 35 8559.68750
10 36 13994.92500
10 37 198738.76250
10 38 109515.83750
10 39 53659.31250
10 40 16305.70000
10 41 61965.86250
10 42 50669.91250
10 43 14853.43750
10 44 9543.75000
10 45 149278.61250
10 46 58814.08750
10 47 16103.32500
10 48 2073.31250
10 49 74352.90000
10 50 6801.52500
11 1 5219.50000
11 2 2296.80000
11 3 9828.00000
11 4 23096.67500
11 5 1133.05000
11 6 7029.42500
11 7 56998.50000
11 8 12741.30000
11 9 1395.90000
11 10 928.80000
11 11 25277.00000
11 12 2463.40000
11 13 10371.95000
11 14 2434.57500
11 15 14621.62500
11 16 16271.40000
11 17 3062.30000
11 18 22846.20000
11 19 4123.90000
11 20 7312.50000
11 21 780.90000
11 22 22333.72500
11 23 0.00000
11 24 7106.00000
11 25 10541.30000
11 26 3268.90000
11 27 248102.40000
11 28 1601.17500
11 29 5916.55000
11 30 16099.87500
11 31 4440.97500
11 32 2398.90000
11 33 14693.25000
11 34 261790.80000
11 35 6353.75000
11 36 5984.10000
11 37 65986.22500
11 38 20525.57500
11 39 42775.87500
11 40 5658.00000
11 41 10086.00000
11 42 16196.50000
11 43 11550.00000
11 44 14550.00000
11 45 136084.72500
11 46 42605.62500
11 47 11183.25000
11 48 2174.37500
11 49 23899.80000
11 50 4001.55000
12 1 4182.90000
12 2 1779.15000
12 3 19303.20000
12 4 48700.22500
12 5 1015.25000
12 6 13919.10000
12 7 102384.00000
12 8 33595.65000
12 9 1275.45000
12 10 768.80000
12 11 97536.25000
12 12 19775.00000
12 13 38482.50000
12 14 4897.75000
12 15 11931.00000
12 16 12619.50000
12 17 2712.00000
12 18 74042.80000
12 19 5635.57500
12 20 5869.50000
12 21 931.95000
12 22 20982.00000
12 23 10703.17500
12 24 10898.40000
12 25 5270.65000
12 26 9073.72500
12 27 222222.00000
12 28 11698.67500
12 29 8953.15000
12 30 22275.00000
12 31 6843.37500
12 32 6931.05000
12 33 19385.50000
12 34 512606.40000
12 35 4891.25000
12 36 4154.10000
12 37 137295.40000
12 38 63513.10000
12 39 39250.87500
12 40 11939.20000
12 41 22567.42500
12 42 20636.57500
12 43 10071.87500
12 44 13087.50000
12 45 124879.72500
12 46 40553.22500
12 47 10561.65000
12 48 1857.10000
12 49 51935.40000
12 50 2614.05000
13 1 7391.25000
13 2 5115.60000
13 3 57472.80000
13 4 135170.70000
13 5 2005.70000
13 6 45474.65000
13 7 259515.00000
13 8 105796.35000
13 9 1940.40000
13 10 1950.40000
13 11 461992.12500
13 12 79235.60000
13 13 135275.15000
13 14 13134.55000
13 15 39913.50000
13 16 35094.90000
13 17 17458.50000
13 18 274079.00000
13 19 21789.62500
13 20 9506.25000
13 21 3066.60000
13 22 56025.97500
13 23 46945.20000
13 24 28226.40000
13 25 59259.20000
13 26 29479.07500
13 27 124051.20000
13 28 49650.85000
13 29 37089.90000
13 30 50490.00000
13 31 18722.55000
13 32 26701.85000
13 33 53121.75000
13 34 1361570.40000
13 35 21336.25000
13 36 26946.75000
13 37 378755.42500
13 38 209073.17500
13 39 40960.50000
13 40 32644.20000
13 41 133135.20000
13 42 91957.02500
13 43 13193.12500
13 44 32087.50000
13 45 89976.15000
13 46 45922.45000
13 47 14940.60000
13 48 2006.55000
13 49 147937.20000
13 50 14979.45000
14 1 5038.82500
14 2 2189.13750
14 3 11180.40000
14 4 40527.81250
14 5 1379.88750
14 6 6966.53750
14 7 96429.37500
14 8 32220.78750
14 9 1663.61250
14 10 1145.20000
14 11 106122.18750
14 12 16712.70000
14 13 36631.67500
14 14 3283.63750
14 15 11169.93750
14 16 19253.55000
14 17 5031.32500
14 18 75211.50000
14 19 8073.86250
14 20 6695.81250
14 21 1298.17500
14 22 17380.76250
14 23 10145.28750
14 24 7117.40000
14 25 14845.32500
14 26 5623.68750
14 27 238875.00000
14 28 9022.83750
14 29 2958.27500
14 30 16118.43750
14 31 3693.11250
14 32 3900.22500
14 33 10951.43750
14 34 451435.80000
14 35 5951.56250
14 36 8459.17500
14 37 119995.81250
14 38 58395.53750
14 39 48318.93750
14 40 9417.70000
14 41 23134.76250
14 42 31401.66250
14 43 13052.18750
14 44 12481.25000
14 45 142499.58750
14 46 49175.13750
14 47 13172.92500
14 48 2064.73750
14 49 42986.70000
14 50 4503.82500
15 1 10349.57500
15 2 5399.43750
15 3 22957.20000
15 4 60515.96250
15 5 2512.93750
15 6 20326.63750
15 7 131920.12500
15 8 60071.96250
15 9 2869.76250
15 10 2314.80000
15 11 288418.81250
15 12 41956.90000
15 13 77569.72500
15 14 4634.98750
15 15 32479.68750
15 16 39867.75000
15 17 13093.87500
15 18 159433.30000
15 19 16239.43750
15 20 13554.93750
15 21 2600.62500
15 22 40178.51250
15 23 26881.91250
15 24 7725.40000
15 25 44597.02500
15 26 13172.48750
15 27 392519.40000
15 28 26549.21250
15 29 20575.37500
15 30 8049.93750
15 31 8596.08750
15 32 13310.67500
15 33 27888.06250
15 34 644793.00000
15 35 17830.31250
15 36 21470.47500
15 37 174969.03750
15 38 114439.76250
15 39 73399.31250
15 40 13583.30000
15 41 81255.33750
15 42 69686.83750
15 43 23103.43750
15 44 27518.75000
15 45 224408.13750
15 46 75966.28750
15 47 21287.02500
15 48 3788.31250
15 49 64873.50000
15 50 12617.92500
16 1 6051.70000
16 2 2838.37500
16 3 15489.60000
16 4 52911.77500
16 5 1823.57500
16 6 10956.40000
16 7 118381.50000
16 8 46527.52500
16 9 2135.92500
16 10 1500.80000
16 11 185456.25000
16 12 28589.00000
16 13 55891.25000
16 14 4204.20000
16 15 14375.62500
16 16 24957.00000
16 17 8294.20000
16 18 114834.20000
16 19 11726.55000
16 20 7707.37500
16 21 1846.80000
16 22 15978.60000
16 23 17728.42500
16 24 7911.60000
16 25 26495.70000
16 26 8745.15000
16 27 261534.00000
16 28 16963.80000
16 29 9917.15000
16 30 17411.62500
16 31 3285.97500
16 32 7961.45000
16 33 7346.62500
16 34 575875.20000
16 35 9514.37500
16 36 13697.55000
16 37 155375.07500
16 38 87468.82500
16 39 55712.62500
16 40 12308.20000
16 41 47404.20000
16 42 47528.35000
16 43 15654.37500
16 44 12525.00000
16 45 160511.62500
16 46 61003.92500
16 47 16755.45000
16 48 2318.92500
16 49 56510.40000
16 50 7448.10000
17 1 9568.47500
17 2 4940.51250
17 3 21294.00000
17 4 19804.31250
17 5 2008.41250
17 6 19446.21250
17 7 37594.12500
17 8 21820.83750
17 9 2327.73750
17 10 1846.80000
17 11 180442.06250
17 12 26227.30000
17 13 35788.72500
17 14 3955.73750
17 15 31372.68750
17 16 32986.95000
17 17 9443.97500
17 18 79433.90000
17 19 11267.98750
17 20 13238.06250
17 21 1853.92500
17 22 42538.98750
17 23 16757.28750
17 24 10537.40000
17 25 35297.07500
17 26 9583.43750
17 27 380835.00000
17 28 18384.66250
17 29 18779.92500
17 30 21687.18750
17 31 9358.38750
17 32 10895.67500
17 33 30148.56250
17 34 130895.40000
17 35 16229.68750
17 36 16483.72500
17 37 45566.28750
17 38 46721.96250
17 39 61907.81250
17 40 6121.30000
17 41 61209.41250
17 42 47737.78750
17 43 19439.06250
17 44 28893.75000
17 45 200373.41250
17 46 63303.71250
17 47 17451.97500
17 48 3664.58750
17 49 23076.30000
17 50 10753.12500
18 1 9064.77500
18 2 4642.53750
18 3 18992.40000
18 4 15191.66250
18 5 1901.46250
18 6 17517.66250
18 7 40319.62500
18 8 21085.76250
18 9 2218.83750
18 10 1736.40000
18 11 161484.31250
18 12 23131.10000
18 13 30731.02500
18 14 3465.96250
18 15 29250.93750
18 16 31041.15000
18 17 8664.27500
18 18 75663.90000
18 19 10401.46250
18 20 12428.81250
18 21 1722.82500
18 22 39775.01250
18 23 14856.33750
18 24 9496.20000
18 25 32488.77500
18 26 8420.78750
18 27 365874.60000
18 28 16408.43750
18 29 17129.07500
18 30 19991.81250
18 31 8567.21250
18 32 9784.77500
18 33 27802.43750
18 34 145421.40000
18 35 15116.56250
18 36 15221.02500
18 37 32993.11250
18 38 39142.43750
18 39 59475.56250
18 40 4997.90000
18 41 55409.96250
18 42 43884.13750
18 43 18490.31250
18 44 27181.25000
18 45 192641.96250
18 46 60774.86250
18 47 16686.07500
18 48 3495.53750
18 49 18025.50000
18 50 9987.22500
19 1 7159.47500
19 2 3507.18750
19 3 16657.20000
19 4 17163.73750
19 5 1497.68750
19 6 13730.43750
19 7 50569.87500
19 8 12128.73750
19 9 1789.01250
19 10 1318.80000
19 11 89774.56250
19 12 11333.90000
19 13 11599.72500
19 14 3423.06250
19 15 22701.18750
19 16 23680.95000
19 17 5714.97500
19 18 36305.10000
19 19 7099.81250
19 20 9845.06250
19 21 1227.87500
19 22 32512.01250
19 23 7665.78750
19 24 9405.00000
19 25 21866.07500
19 26 6693.66250
19 27 308872.20000
19 28 8878.58750
19 29 11995.77500
19 30 19843.31250
19 31 7210.08750
19 32 6460.12500
19 33 22904.68750
19 34 201588.60000
19 35 10875.31250
19 36 10444.72500
19 37 48961.96250
19 38 10262.78750
19 39 50292.93750
19 40 4907.70000
19 41 33472.91250
19 42 29335.21250
19 43 14901.56250
19 44 21506.25000
19 45 163396.91250
19 46 51227.53750
19 47 13794.52500
19 48 2856.08750
19 49 17622.90000
19 50 7090.12500
20 1 4781.50000
20 2 2035.80000
20 3 12297.60000
20 4 34762.00000
20 5 1108.25000
20 6 8371.02500
20 7 78328.50000
20 8 22542.30000
20 9 1374.45000
20 10 832.80000
20 11 55499.50000
20 12 10350.80000
20 13 23565.95000
20 14 3406.97500
20 15 12776.62500
20 16 14579.40000
20 17 2599.00000
20 18 45918.60000
20 19 5350.95000
20 20 6547.12500
20 21 889.20000
20 22 21002.17500
20 23 4959.00000
20 24 7881.20000
20 25 8099.30000
20 26 5560.50000
20 27 234998.40000
20 28 5683.45000
20 29 5121.25000
20 30 17362.12500
20 31 4435.20000
20 32 3574.20000
20 33 14025.37500
20 34 377998.80000
20 35 5378.75000
20 36 4886.10000
20 37 99025.22500
20 38 40442.57500
20 39 40660.87500
20 40 8519.80000
20 41 5043.00000
20 42 19379.95000
20 43 10725.00000
20 44 13050.00000
20 45 129361.72500
20 46 42752.22500
20 47 11227.65000
20 48 2072.70000
20 49 36673.20000
20 50 3335.55000
21 1 6033.45000
21 2 2890.57500
21 3 23856.00000
21 4 49569.27500
21 5 908.30000
21 6 18684.57500
21 7 100962.00000
21 8 32942.25000
21 9 1156.65000
21 10 916.00000
21 11 94239.25000
21 12 21854.20000
21 13 37602.90000
21 14 5551.97500
21 15 19787.62500
21 16 16581.60000
21 17 3101.85000
21 18 72233.20000
21 19 2795.65000
21 20 8360.62500
21 21 505.40000
21 22 31291.42500
21 23 11984.25000
21 24 13444.40000
21 25 15669.50000
21 26 10615.50000
21 27 267212.40000
21 28 14150.92500
21 29 14086.45000
21 30 26420.62500
21 31 8731.80000
21 32 9112.60000
21 33 26766.37500
21 34 514543.20000
21 35 9051.25000
21 36 5837.70000
21 37 137846.05000
21 38 63900.37500
21 39 36889.12500
21 40 12693.60000
21 41 36309.60000
21 42 8098.25000
21 43 11440.00000
21 44 19475.00000
21 45 135188.32500
21 46 37291.37500
21 47 9573.75000
21 48 2483.07500
21 49 53106.60000
21 50 5450.10000
22 1 6661.25000
22 2 3943.27500
22 3 48568.80000
22 4 105288.75000
22 5 1169.47500
22 6 38375.35000
22 7 199791.00000
22 8 78353.55000
22 9 1050.22500
22 10 1087.20000
22 11 323380.75000
22 12 59166.80000
22 13 98735.10000
22 14 11125.40000
22 15 33563.62500
22 16 19881.00000
22 17 11362.15000
22 18 198000.40000
22 19 14964.95000
22 20 10130.25000
22 21 2041.55000
22 22 49368.22500
22 23 34713.00000
22 24 24198.40000
22 25 41636.10000
22 26 23935.42500
22 27 177231.60000
22 28 36827.02500
22 29 30040.65000
22 30 43931.25000
22 31 16331.70000
22 32 21992.60000
22 33 46032.00000
22 34 1052973.60000
22 35 16956.87500
22 36 17073.90000
22 37 290926.75000
22 38 156127.15000
22 39 30385.50000
22 40 26231.80000
22 41 95817.00000
22 42 61825.95000
22 43 5775.00000
22 44 30675.00000
22 45 93057.52500
22 46 34927.45000
22 47 9046.50000
22 48 2603.12500
22 49 114118.80000
22 50 10694.85000
23 1 8845.77500
23 2 5984.51250
23 3 66066.00000
23 4 142841.73750
23 5 2040.18750
23 6 52622.86250
23 7 266358.37500
23 8 108940.83750
23 9 1977.11250
23 10 1986.00000
23 11 477721.56250
23 12 84557.90000
23 13 139911.37500
23 14 14963.16250
23 15 48346.68750
23 16 36497.85000
23 17 17709.92500
23 18 282712.30000
23 19 22071.08750
23 20 12180.18750
23 21 3108.87500
23 22 67091.96250
23 23 50189.21250
23 24 31946.60000
23 25 64804.57500
23 26 33148.16250
23 27 183947.40000
23 28 53033.51250
23 29 42325.62500
23 30 56547.56250
23 31 21757.31250
23 32 30199.57500
23 33 62514.81250
23 34 1415639.40000
23 35 24582.18750
23 36 27353.92500
23 37 394035.96250
23 38 218284.78750
23 39 34060.31250
23 40 35444.50000
23 41 143032.08750
23 42 93199.68750
23 43 13994.06250
23 44 38943.75000
23 45 68042.36250
23 46 38748.21250
23 47 12767.77500
23 48 2678.46250
23 49 155275.50000
23 50 17196.67500
24 1 11656.27500
24 2 6919.76250
24 3 66973.20000
24 4 137025.78750
24 5 1600.76250
24 6 53852.66250
24 7 256048.87500
24 8 104203.68750
24 9 1509.33750
24 10 2088.40000
24 11 453818.31250
24 12 81009.70000
24 13 133534.27500
24 14 15041.81250
24 15 54681.18750
24 16 38302.65000
24 17 17551.72500
24 18 269592.70000
24 19 18497.46250
24 20 16314.18750
24 21 2532.22500
24 22 77038.23750
24 23 48040.31250
24 24 32615.40000
24 25 63420.77500
24 26 32667.93750
24 27 276549.00000
24 28 52629.61250
24 29 43386.02500
24 30 57636.56250
24 31 23235.71250
24 32 29780.97500
24 33 69570.31250
24 34 1359472.20000
24 35 28075.93750
24 36 27097.72500
24 37 378067.11250
24 38 208713.56250
24 39 23696.81250
24 40 34157.10000
24 41 141855.38750
24 42 81191.93750
24 43 15320.93750
24 44 47856.25000
24 45 115551.56250
24 46 21302.81250
24 47 8172.37500
24 48 3717.26250
24 49 148907.10000
24 50 18323.32500
25 1 8663.27500
25 2 4385.88750
25 3 16203.60000
25 4 12183.41250
25 5 1836.36250
25 6 15197.81250
25 7 46244.62500
25 8 20704.61250
25 9 2144.58750
25 10 1668.40000
25 11 149807.43750
25 12 19673.30000
25 13 27615.77500
25 14 2868.93750
25 15 26698.68750
25 16 29842.65000
25 17 8184.02500
25 18 69254.90000
25 19 9863.83750
25 20 11614.68750
25 21 1643.02500
25 22 36405.78750
25 23 13492.61250
25 24 8227.00000
25 25 30250.27500
25 26 7022.23750
25 27 352989.00000
25 28 14201.41250
25 29 15128.77500
25 30 17925.18750
25 31 7608.56250
25 32 8448.47500
25 33 24685.68750
25 34 178024.20000
25 35 14222.81250
25 36 14443.27500
25 37 42170.61250
25 38 34439.81250
25 39 59070.18750
25 40 3636.70000
25 41 50787.21250
25 42 41538.43750
25 43 17905.93750
25 44 25093.75000
25 45 187935.86250
25 46 59235.56250
25 47 16219.87500
25 48 3300.76250
25 49 11949.90000
25 50 9376.72500
